,真实值,LGBM_预测,LGBM_误差率
24,21.36315,21.363149642944347,0.00%
54,25.20867,25.20866966247558,0.00%
7,18.04132,18.041320800781264,0.00%
8,23.17559,23.175590515136733,0.00%
39,20.07265,20.07265090942384,0.00%
18,20.60826,20.60825920104982,0.00%
29,24.09273,24.092729568481438,0.00%
20,27.52444,27.524440765380845,0.00%
51,16.59777,16.597770690917983,0.00%
15,24.9937,24.99370002746583,0.00%
3,20.1598,20.15979957580568,0.00%
1,29.53146,29.531459808349595,0.00%
43,26.56875,26.568750381469712,0.00%
23,25.17844,25.17844009399413,0.00%
57,21.24412,21.24411964416505,0.00%
26,22.17085,22.17085075378419,0.00%
33,21.16803,21.168029785156264,0.00%
34,32.23085,32.230850219726534,0.00%
42,20.45064,20.45063972473146,0.00%
5,19.08823,19.088230133056655,0.00%
16,17.84406,17.844060897827163,0.00%
52,25.77998,25.779979705810533,0.00%
22,36.77542,36.7754211425781,0.00%
28,26.54657,26.546569824218736,0.00%
46,30.10038,30.100379943847642,0.00%
14,22.17085,22.170850753784165,0.00%
36,26.18464,26.1846408843994,0.00%
10,25.49304,25.493040084838853,0.00%
0,26.65474,26.6547393798828,0.00%
25,24.60832,24.608320236206044,0.00%
40,25.88226,25.88225936889645,0.00%
38,31.56623,31.566230773925767,0.00%
55,21.97393,21.973930358886733,0.00%
31,25.5119,25.511899948120103,0.00%
30,11.01832,11.018320083618171,0.00%
2,16.38876,16.388759613037124,0.00%
