,真实值,RF_预测,RF_误差率
36,26.18464,24.479356457760364,6.51%
1,29.53146,24.73026454009108,16.26%
0,26.65474,24.73026454009108,7.22%
10,25.49304,24.04981818850546,5.66%
46,30.10038,24.97028000109791,17.04%
26,22.17085,24.04981818850546,8.47%
8,23.17559,24.04981818850546,3.77%
5,19.08823,23.203750033878475,21.56%
15,24.9937,24.04981818850546,3.78%
16,17.84406,21.28045475391482,19.26%
29,24.09273,24.04981818850546,0.18%
22,36.77542,33.15939213306779,9.83%
33,21.16803,24.04981818850546,13.61%
42,20.45064,24.04981818850546,17.60%
31,25.5119,24.04981818850546,5.73%
38,31.56623,25.65072635268353,18.74%
55,21.97393,24.04981818850546,9.45%
43,26.56875,24.479356457760364,7.86%
52,25.77998,24.08580060521623,6.57%
54,25.20867,24.04981818850546,4.60%
30,11.01832,12.229403243801654,10.99%
25,24.60832,24.04981818850546,2.27%
2,16.38876,17.509502112948812,6.84%
34,32.23085,25.65072635268353,20.42%
57,21.24412,24.04981818850546,13.21%
24,21.36315,24.04981818850546,12.58%
40,25.88226,24.479356457760364,5.42%
39,20.07265,23.594877061878687,17.55%
7,18.04132,21.28045475391482,17.95%
23,25.17844,24.04981818850546,4.48%
18,20.60826,24.04981818850546,16.70%
3,20.1598,24.04981818850546,19.30%
28,26.54657,24.479356457760364,7.79%
20,27.52444,24.73026454009108,10.15%
14,22.17085,24.04981818850546,8.47%
51,16.59777,19.20737776757579,15.72%
