,真实�?融合模型_预测,融合模型_误差�?,
31,25.5119,25.51189995,0.00%
16,17.84406,17.8440609,0.00%
42,20.45064,20.45063972,0.00%
8,23.17559,23.17559052,0.00%
22,36.77542,36.77542114,0.00%
26,22.17085,22.17085075,0.00%
24,21.36315,21.36314964,0.00%
54,25.20867,25.20866966,0.00%
2,16.38876,16.38875961,0.00%
46,30.10038,30.10037994,0.00%
34,32.23085,32.23085022,0.00%
25,24.60832,24.60832024,0.00%
20,27.52444,27.52444077,0.00%
18,20.60826,20.6082592,0.00%
30,11.01832,11.01832008,0.00%
3,20.1598,20.15979958,0.00%
5,19.08823,19.08823013,0.00%
0,26.65474,26.65473938,0.00%
51,16.59777,16.59777069,0.00%
15,24.9937,24.99370003,0.00%
52,25.77998,25.77997971,0.00%
1,29.53146,29.53145981,0.00%
39,20.07265,20.07265091,0.00%
33,21.16803,21.16802979,0.00%
43,26.56875,26.56875038,0.00%
40,25.88226,25.88225937,0.00%
7,18.04132,18.0413208,0.00%
57,21.24412,21.24411964,0.00%
28,26.54657,26.54656982,0.00%
36,26.18464,26.18464088,0.00%
55,21.97393,21.97393036,0.00%
38,31.56623,31.56623077,0.00%
23,25.17844,25.17844009,0.00%
10,25.49304,25.49304008,0.00%
14,22.17085,22.17085075,0.00%
29,24.09273,24.09272957,0.00%
