,RMSE
0,4.933795381582838
1,4.170669614372658
2,4.170669614372658
3,4.045753353859519
4,4.045753353859519
5,4.036934556856528
6,4.036934556856528
7,4.036934556856528
8,4.036934556856528
9,4.036934556856528
10,4.036934556856528
11,4.036934556856528
12,4.036934556856528
13,4.036934556856528
14,4.036934556856528
15,4.036934556856528
16,3.9583120636432163
17,3.9583120636432163
18,3.9583120636432163
19,3.9583120636432163
20,3.9583120636432163
21,3.9583120636432163
22,3.9583120636432163
23,3.9583120636432163
24,3.9583120636432163
25,3.9583120636432163
26,3.9583120636432163
27,3.9583120636432163
28,3.9583120636432163
29,3.9583120636432163
30,3.9583120636432163
31,3.9583120636432163
32,3.9583120636432163
33,3.9583120636432163
34,3.9583120636432163
35,3.9583120636432163
36,3.9583120636432163
37,3.9583120636432163
38,3.9583120636432163
39,3.9583120636432163
40,3.9583120636432163
41,3.9583120636432163
42,3.9583120636432163
43,3.9583120636432163
44,3.9583120636432163
45,3.9583120636432163
46,3.9583120636432163
47,3.9583120636432163
48,3.9583120636432163
49,3.9583120636432163
