,真实�?LGBM_预测,LGBM_误差�?,,,,,
4,13.02035145,12.15097871,6.68%,,0.091666667,,9.166666667
11,11.07376706,11.5926625,4.69%,,,,
52,13.03526249,12.62357697,3.16%,,,,
3,6.866822769,6.907406731,0.59%,,,,
8,11.30079301,11.94210884,5.67%,,,,
21,2.952691445,2.420487843,18.02%,,,,
54,7.05840589,6.908737364,2.12%,,,,
17,10.26312894,6.966657048,32.12%,,,,
32,11.06212874,10.73836998,2.93%,,,,
60,11.55791687,11.96153371,3.49%,,,,
0,4.043729751,2.952819512,26.98%,,,,
30,11.11844187,11.81518286,6.27%,,,,
48,5.407144992,4.69513866,13.17%,,,,
9,10.92699096,9.751970359,10.75%,,,,
45,11.06793235,11.16356324,0.86%,,,,
