,真实�?LGBM_预测,LGBM_误差�?,,,,,
61,4.172503437,3.38931145,18.77%,,0.088935714,,8.893571429
59,14.53508812,12.77495875,12.11%,,,,
36,5.347840941,5.347190259,0.01%,,,,
13,15.17364778,13.19918936,13.01%,,,,
20,10.95907738,11.60919119,5.93%,,,,
22,11.34438641,11.68783272,3.03%,,,,
51,10.46061364,11.4669512,9.62%,,,,
50,15.76545168,13.69860165,13.11%,,,,
65,9.599096959,10.83903556,12.92%,,,,
28,7.882255263,8.760948034,11.15%,,,,
1,11.27474085,11.65694085,3.39%,,,,
42,8.771118038,8.771084957,0.00%,,,,
19,11.49754109,12.12953903,5.50%,,,,
0,9.72616376,11.27797676,15.96%,,,,
