,真实�?RF_预测,RF_误差�?,,,,,
60,11.55791687,12.05098232,4.27%,,0.249646667,,24.96466667
52,13.03526249,12.05098232,7.55%,,,,
17,10.26312894,9.492527176,7.51%,,,,
0,4.043729751,6.434402903,59.12%,,,,
11,11.07376706,11.87723469,7.26%,,,,
32,11.06212874,9.650318458,12.76%,,,,
9,10.92699096,9.650318458,11.68%,,,,
45,11.06793235,11.87723469,7.31%,,,,
8,11.30079301,12.05098232,6.64%,,,,
48,5.407144992,8.947354832,65.47%,,,,
3,6.866822769,9.121102462,32.83%,,,,
30,11.11844187,11.87723469,6.82%,,,,
21,2.952691445,6.076044461,105.78%,,,,
4,13.02035145,12.05098232,7.45%,,,,
54,7.05840589,9.318779546,32.02%,,,,
