,真实值,RF_预测,RF_误差率
46,10.96858462,10.542460556280412,3.88%
47,13.20021418,12.034961379142684,8.83%
18,10.97543561,11.425759224530587,4.10%
33,10.3601013,9.105741689726658,12.11%
31,15.61052862,12.034961379142684,22.90%
35,11.26842324,12.034961379142684,6.80%
29,1.41548601,5.651644805713333,299.27%
40,13.03847265,12.034961379142684,7.70%
7,11.15142343,11.942714602659839,7.10%
27,10.68415398,9.931672338902803,7.04%
62,11.3634827,12.034961379142684,5.91%
12,11.06798028,11.878260458407963,7.32%
6,10.75107344,9.937213983235624,7.57%
2,11.071264,11.942714602659839,7.87%
41,5.347840941,8.438905262852012,57.80%
37,11.08468604,11.942714602659839,7.74%
69,11.07118812,11.942714602659839,7.87%
16,11.07679855,11.942714602659839,7.82%
10,14.19414488,12.034961379142684,15.21%
25,13.12116165,12.034961379142684,8.28%
64,11.34513583,12.034961379142684,6.08%
58,2.952691445,6.430324804109246,117.78%
38,11.06212874,11.878260458407963,7.38%
39,11.05396931,11.786013681925118,6.62%
43,10.36010383,9.542508496635623,7.89%
49,10.91388035,10.101582107877947,7.44%
56,11.02845704,11.786013681925118,6.87%
57,4.730771907,7.876359479563092,66.49%
26,13.03526249,12.034961379142684,7.67%
44,10.93533452,10.542460556280412,3.59%
68,11.42000165,12.034961379142684,5.38%
34,3.928101327,6.6298408209974395,68.78%
23,13.43967416,12.034961379142684,10.45%
67,13.43967416,12.034961379142684,10.45%
5,11.23669927,12.034961379142684,7.10%
14,12.01674312,12.034961379142684,0.15%
55,11.1955347,11.942714602659839,6.67%
63,14.00502929,12.034961379142684,14.07%
53,10.798462,9.944881187143226,7.90%
24,11.06059289,11.786013681925118,6.56%
66,16.59389662,12.034961379142684,27.47%
15,8.771118038,8.701328061498518,0.80%
