,真实�?融合模型_预测,融合模型_误差�?,,,
45,11.06793235,11.17333507,0.95%,,0.087533333
32,11.06212874,10.75681922,2.76%,,
60,11.55791687,11.96207303,3.50%,,
3,6.866822769,6.957231578,1.32%,,
9,10.92699096,9.744751457,10.82%,,
52,13.03526249,12.60981268,3.26%,,
8,11.30079301,11.93599198,5.62%,,
48,5.407144992,4.719991749,12.71%,,
30,11.11844187,11.81165633,6.23%,,
54,7.05840589,6.972367728,1.22%,,
21,2.952691445,2.474289018,16.20%,,
4,13.02035145,12.14685928,6.71%,,
0,4.043729751,3.075786665,23.94%,,
11,11.07376706,11.55413853,4.34%,,
17,10.26312894,7.007885654,31.72%,,
