,真实值,融合模型_预测,融合模型_误差率
37,11.08468604,11.10120125372056,0.15%
64,11.34513583,11.356999794658016,0.10%
49,10.91388035,10.889873855229698,0.22%
69,11.07118812,11.08446892736704,0.12%
46,10.96858462,10.93528637159366,0.30%
35,11.26842324,11.247011115528077,0.19%
29,1.41548601,1.4865219432797994,5.02%
56,11.02845704,11.05058435400224,0.20%
43,10.36010383,10.384177298951336,0.23%
67,13.43967416,13.41259812741241,0.20%
12,11.06798028,11.080002234171644,0.11%
38,11.06212874,11.078665631075369,0.15%
57,4.730771907,4.73294906713702,0.05%
58,2.952691445,3.0480643061750925,3.23%
26,13.03526249,13.015679358015305,0.15%
33,10.3601013,10.36538050794508,0.05%
31,15.61052862,15.539081388561149,0.46%
27,10.68415398,10.713073425734414,0.27%
55,11.1955347,11.178700213064252,0.15%
68,11.42000165,11.426004520510086,0.05%
7,11.15142343,11.167319715325181,0.14%
2,11.071264,11.092360017939217,0.19%
40,13.03847265,13.01642089494809,0.17%
25,13.12116165,13.096764835814211,0.19%
14,12.01674312,12.015020435926424,0.01%
34,3.928101327,3.9545279761637078,0.67%
66,16.59389662,16.501677482369907,0.56%
62,11.3634827,11.37032533306129,0.06%
18,10.97543561,10.990867264262421,0.14%
15,8.771118038,8.782473501575284,0.13%
53,10.798462,10.821384455070795,0.21%
41,5.347840941,5.410194775052992,1.17%
10,14.19414488,14.151239092144932,0.30%
47,13.20021418,13.174211221138938,0.20%
39,11.05396931,11.075106614521072,0.19%
6,10.75107344,10.771197076109283,0.19%
16,11.07679855,11.09430268660401,0.16%
23,13.43967416,13.40872067527591,0.23%
24,11.06059289,11.077370555928134,0.15%
44,10.93533452,10.906675869390915,0.26%
5,11.23669927,11.236295499647987,0.00%
63,14.00502929,13.966169411497557,0.28%
