,真实�?融合模型_预测,融合模型_误差�?,,,,
0,9.72616376,11.29205414,16.10%,,,0.091064286
28,7.882255263,8.771298818,11.28%,,,
51,10.46061364,11.47717196,9.72%,,,
19,11.49754109,12.12623759,5.47%,,,
59,14.53508812,12.75505402,12.25%,,,
36,5.347840941,5.435601564,1.64%,,,
42,8.771118038,8.781228865,0.12%,,,
20,10.95907738,11.61650909,6.00%,,,
1,11.27474085,11.66588275,3.47%,,,
61,4.172503437,3.389105333,18.78%,,,
65,9.599096959,10.85024747,13.03%,,,
22,11.34438641,11.69614417,3.10%,,,
13,15.17364778,13.17062686,13.20%,,,
50,15.76545168,13.66327852,13.33%,,,
